"","Year","ST","MWh","Carbon","Carbon Intensity"
"61",1991,"FL",139416689,98018490,0.7
"62",1991,"GA",96173131,61373329,0.64
"63",1991,"HI",8703235,6888074,0.79
"64",1991,"IA",32267856,31080670,0.96
"65",1991,"ID",9428619,438133,0.05
"66",1991,"IL",130274345,61880042,0.47
"67",1991,"IN",101981299,98572159,0.97
"68",1991,"KS",32630743,27653627,0.85
"69",1991,"KY",75505081,67800498,0.9
"70",1991,"LA",74972693,44986365,0.6
"71",1991,"MA",41019791,28673709,0.7
"72",1991,"MD",39850884,26984732,0.68
"73",1991,"ME",17344783,4476644,0.26
"74",1991,"MI",105978124,72023901,0.68
"75",1991,"MN",42132110,30651360,0.73
"76",1991,"MO",60474726,48945256,0.81
"77",1991,"MS",25876616,13515747,0.52
"78",1991,"MT",28553148,17503914,0.61
"79",1991,"NC",89375284,49624139,0.56
"80",1991,"ND",27679148,28981390,1.05
"81",1991,"NE",23000347,14449304,0.63
"82",1991,"NH",14221341,4643760,0.33
"83",1991,"NJ",43526466,14277174,0.33
"84",1991,"NM",25277222,24355491,0.96
"85",1991,"NV",22065204,17903070,0.81
"86",1991,"NY",134600499,64916974,0.48
"87",1991,"OH",134036497,113154523,0.84
"88",1991,"OK",49099117,39731508,0.81
"89",1991,"OR",47444889,3851797,0.08
"90",1991,"PA",172762709,108816877,0.63
"91",1991,"RI",2925819,1441377,0.49
"92",1991,"SC",72180007,24058984,0.33
"93",1991,"SD",6572666,2999762,0.46
"94",1991,"TN",76192806,50327054,0.66
"95",1991,"TX",286328708,212364983,0.74
"96",1991,"UT",30505906,27766007,0.91
"97",1991,"VA",54729094,30790666,0.56
"98",1991,"VT",5387985,63731,0.01
"99",1991,"WA",102870562,8767387,0.09
"100",1991,"WI",49356737,39034246,0.79
"101",1991,"WV",73423735,67155004,0.91
"102",1991,"WY",39298388,40261112,1.02
"103",1992,"AK",5298424,3944861,0.74
"104",1992,"AL",95234422,60445089,0.63
"105",1992,"AR",39746101,24164352,0.61
"106",1992,"AZ",70552727,35848193,0.51
"107",1992,"CA",177155459,57981149,0.33
"108",1992,"CO",33295490,31793986,0.95
"109",1992,"CT",29211380,9757623,0.33
"110",1992,"DC",73991,116153,1.57
"111",1992,"DE",6984285,8007499,1.15
"112",1992,"FL",143777143,97048592,0.67
"113",1992,"GA",97358229,59695235,0.61
"114",1992,"HI",9844461,7835266,0.8
"115",1992,"IA",30496927,30170297,0.99
"116",1992,"ID",7463004,651756,0.09
"117",1992,"IL",128046228,58439821,0.46
"118",1992,"IN",101018564,97274159,0.96
"119",1992,"KS",32078493,25010527,0.78
"120",1992,"KY",77351259,68861659,0.89
"121",1992,"LA",73374124,46742758,0.64
"122",1992,"MA",40087655,27126601,0.68
